Chip Run Info;\\pnas1.stockage.inra.fr\vdl-isp\Ibir\Fluidigm\2023_03_28_CGitton\ChipRun.bml;1362900136;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2023 18:35;00:30:37;BIOMARKHD434;SamplePlateName: Undefined;SamplePlateBarCode: Undefined;ReagentPlateName: Undefined;ReagentPlateBarCode: Undefined;;;;;;;;;;;
Application Version;4.7.1;;;;;;;;;;;;;;;;;;;;;;;
Application Build;20200930.1707;;;;;;;;;;;;;;;;;;;;;;;
Export Type;Table Results;;;;;;;;;;;;;;;;;;;;;;;
Quality Threshold;0,65;;;;;;;;;;;;;;;;;;;;;;;
Baseline Correction Method;Linear (Derivative);;;;;;;;;;;;;;;;;;;;;;;
Ct Threshold Method;Auto (Global);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen
Chamber;Sample;Sample;Sample;Sample;EvaGreen;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Delta Ct Sample;Delta Ct Sample;Delta Ct Sample;Delta Ct Reagent;Delta Ct Reagent;Delta Ct Reagent;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Delta Delta Ct;Tm;Tm;Tm
ID;Name;Type;rConc;Reference;Name;Type;Reference;Value;Quality;Call;Threshold;Value;Quality;Call;Value;Quality;Call;Value;Fold Change;Quality;Call;In Range;Out Range;Peak Ratio
S79-A07;ADNc-352;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;9,423087575;1;Pass;0,015433382;999;0;Flag;5,809337987;0,533760149;Flag;999;-1;0;Flag;86,3092384;999;1
S13-A07;ADNc-381;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;19,52466757;1;Pass;0,015433382;999;0;Flag;9,923511618;1;Pass;999;-1;0;Flag;86,15191844;999;1
S78-A07;ADNc-344;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;12,90369796;1;Pass;0,015433382;999;0;Flag;8,029019666;0,854505761;Pass;999;-1;0;Flag;86,27624063;999;1
S24-A07;ADNc-ANSES-12;Unknown;1;ADNc-ANSES-1;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;73,97231909;999;1
S77-A07;ADNc-418;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;13,54709563;1;Pass;0,015433382;999;0;Flag;7,115102299;0,969165982;Pass;999;-1;0;Flag;86,28366493;999;1
S23-A07;ADNc-ANSES-4;Unknown;1;ADNc-ANSES-1;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;74,01093503;999;1
S76-A07;ADNc-410;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,99453421;1;Pass;0,015433382;999;0;Flag;8,69282981;1;Pass;999;-1;0;Flag;86,16977053;999;1
S22-A07;ADNc-321;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,85643849;1;Pass;0,015433382;999;0;Flag;7,61195934;1;Pass;999;-1;0;Flag;86,32084394;999;1
S75-A07;ADNc-402;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;19,70500047;1;Pass;0,015433382;999;0;Flag;9,82478802;1;Pass;999;-1;0;Flag;86,25791983;999;1
S21-A07;ADNc-367;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;13,07663896;1;Pass;0,015433382;999;0;Flag;4,89730147;1;Pass;999;-1;0;Flag;86,3594941;999;1
S74-A07;ADNc-394;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,39686998;1;Pass;0,015433382;999;0;Flag;7,160271494;1;Pass;999;-1;0;Flag;86,23183411;999;1
S20-A07;ADNc-355;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;12,13927948;1;Pass;0,015433382;999;0;Flag;7,186613933;0,843409257;Pass;999;-1;0;Flag;86,36777627;999;1
S73-A07;ADNc-386;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,80750078;1;Pass;0,015433382;999;0;Flag;9,151472066;1;Pass;999;-1;0;Flag;86,26163514;999;1
S19-A07;ADNc-347;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,90065958;1;Pass;0,015433382;999;0;Flag;12,0483051;1;Pass;999;-1;0;Flag;86,2694176;999;1
S72-A07;ADNc-ANSES-16;Unknown;1;ADNc-ANSES-3;CD25;Test;ACTB,GAPDH,PPIA;22,0663368;1;Pass;0,015433382;2,550626331;1;Pass;16,4780866;0,867540771;Pass;2,630511056;0,161486889;0,855191018;Pass;78,0700684;999;1
S30-A07;ADNc-340;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,92705691;1;Pass;0,015433382;999;0;Flag;10,82084424;1;Pass;999;-1;0;Flag;86,17997169;999;1
S71-A07;ADNc-ANSES-8;Unknown;1;ADNc-ANSES-2;CD25;Test;ACTB,GAPDH,PPIA;23,99123194;1;Pass;0,015433382;2,137350537;1;Pass;18,11163588;0,878641357;Pass;1,877790851;0,272100054;0,878641357;Pass;77,6496891;999;1
S29-A07;ADNc-414;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;16,06496851;1;Pass;0,015433382;999;0;Flag;7,474678757;1;Pass;999;-1;0;Flag;86,31436834;999;1
S70-A07;ADNc-333;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S28-A07;ADNc-406;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,94692724;1;Pass;0,015433382;999;0;Flag;9,519917705;1;Pass;999;-1;0;Flag;86,16266552;999;1
S69-A07;ADNc-308;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,75901532;1;Pass;0,015433382;999;0;Flag;7,280653096;1;Pass;999;-1;0;Flag;86,29233072;999;1
S27-A07;ADNc-398;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;13,71081367;1;Pass;0,015433382;999;0;Flag;6,03112033;1;Pass;999;-1;0;Flag;86,3386305;999;1
S68-A07;ADNc-363;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,20802864;1;Pass;0,015433382;999;0;Flag;13,04899605;0,819856806;Pass;999;-1;0;Flag;86,18056994;999;1
S26-A07;ADNc-390;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,72253419;1;Pass;0,015433382;999;0;Flag;7,775750975;1;Pass;999;-1;0;Flag;86,2953265;999;1
S67-A07;ADNc-351;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;15,65097634;1;Pass;0,015433382;999;0;Flag;8,131125093;1;Pass;999;-1;0;Flag;86,38349348;999;1
S25-A07;ADNc-382;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,62044367;1;Pass;0,015433382;999;0;Flag;9,745336781;1;Pass;999;-1;0;Flag;86,19170146;999;1
S66-A07;ADNc-343;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;13,54551107;1;Pass;0,015433382;999;0;Flag;9,072663121;0,7801451;Pass;999;-1;0;Flag;86,38629482;999;1
S36-A07;ADNc-ANSES-13;Unknown;1;ADNc-ANSES-2;CD25;Test;ACTB,GAPDH,PPIA;22,53562087;1;Pass;0,015433382;0,68173947;1;Pass;15,97383895;0,952590644;Pass;-0,260006074;1,197483746;0,900271744;Pass;77,11170733;999;1
S65-A07;ADNc-417;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;16,36145988;1;Pass;0,015433382;999;0;Flag;7,508288152;1;Pass;999;-1;0;Flag;86,36240674;999;1
S35-A07;ADNc-ANSES-5;Unknown;1;ADNc-ANSES-1;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S64-A07;ADNc-409;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,54057735;1;Pass;0,015433382;999;0;Flag;8,761259846;1;Pass;999;-1;0;Flag;86,34312011;999;1
S34-A07;ADNc-326;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,01103888;1;Pass;0,015433382;999;0;Flag;9,501364638;1;Pass;999;-1;0;Flag;86,34653769;999;1
S63-A07;ADNc-401;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;20,14574815;1;Pass;0,015433382;999;0;Flag;8,804085099;1;Pass;999;-1;0;Flag;86,17920922;999;1
S33-A07;ADNc-368;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;15,91207383;1;Pass;0,015433382;999;0;Flag;5,250591283;1;Pass;999;-1;0;Flag;86,29462185;999;1
S62-A07;ADNc-393;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;16,49732517;1;Pass;0,015433382;999;0;Flag;8,804723956;1;Pass;999;-1;0;Flag;86,35398391;999;1
S32-A07;ADNc-356;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;14,2997738;1;Pass;0,015433382;999;0;Flag;7,7021654;1;Pass;999;-1;0;Flag;86,33711178;999;1
S61-A07;ADNc-385;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;19,2531834;1;Pass;0,015433382;999;0;Flag;8,725631898;1;Pass;999;-1;0;Flag;86,17437562;999;1
S31-A07;ADNc-348;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;20,08731313;1;Pass;0,015433382;999;0;Flag;10,36148067;1;Pass;999;-1;0;Flag;86,20533172;999;1
S60-A07;ADNc-ANSES-15;Unknown;1;ADNc-ANSES-2;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S42-A07;ADNc-341;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;16,83928298;1;Pass;0,015433382;999;0;Flag;8,756287305;1;Pass;999;-1;0;Flag;86,26139178;999;1
S59-A07;ADNc-ANSES-7;Unknown;1;ADNc-ANSES-2;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S41-A07;ADNc-415;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,19364767;1;Pass;0,015433382;999;0;Flag;7,569451645;1;Pass;999;-1;0;Flag;86,26302636;999;1
S58-A07;ADNc-332;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;15,6753551;1;Pass;0,015433382;999;0;Flag;7,070367114;1;Pass;999;-1;0;Flag;78,23695294;999;1
S40-A07;ADNc-407;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;24,44824917;1;Pass;0,015433382;999;0;Flag;14,19769414;1;Pass;999;-1;0;Flag;76,64310154;999;1
S57-A07;ADNc-370;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;11,23425408;1;Pass;0,015433382;999;0;Flag;4,093400423;0,996906512;Pass;999;-1;0;Flag;86,35209869;999;1
S39-A07;ADNc-399;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;15,9693306;1;Pass;0,015433382;999;0;Flag;6,571291464;1;Pass;999;-1;0;Flag;86,27672271;999;1
S56-A07;ADNc-362;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;14,534172;1;Pass;0,015433382;999;0;Flag;4,342152468;1;Pass;999;-1;0;Flag;86,2876868;999;1
S38-A07;ADNc-391;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,29585736;1;Pass;0,015433382;999;0;Flag;7,261885279;1;Pass;999;-1;0;Flag;86,33688974;999;1
S55-A07;ADNc-350;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;18,6803721;1;Pass;0,015433382;999;0;Flag;8,767632325;1;Pass;999;-1;0;Flag;86,22302618;999;1
S37-A07;ADNc-383;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;999;999;0
S54-A07;ADNc-342;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;12,72533027;1;Pass;0,015433382;999;0;Flag;7,515303162;0,85692299;Pass;999;-1;0;Flag;86,32366731;999;1
S48-A07;ADNc-ANSES-14;Unknown;1;ADNc-ANSES-2;CD25;Test;ACTB,GAPDH,PPIA;23,49292316;1;Pass;0,015433382;1,639041763;1;Pass;17,34063255;0,951337476;Pass;1,106787526;0,464326805;0,900271744;Pass;77,63924264;999;1
S53-A07;ADNc-416;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;15,14636361;1;Pass;0,015433382;999;0;Flag;8,46379138;0,983740237;Pass;999;-1;0;Flag;86,30862348;999;1
S47-A07;ADNc-ANSES-6;Unknown;1;ADNc-ANSES-1;CD25;Test;ACTB,GAPDH,PPIA;999;0;Flag;0,015433382;999;0;Flag;999;0;Flag;999;-1;0;Flag;73,8271775;999;1
S52-A07;ADNc-408;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;19,68042201;1;Pass;0,015433382;999;0;Flag;11,41036209;1;Pass;999;-1;0;Flag;86,14904962;999;1
S46-A07;ADNc-327;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;21,4583468;1;Pass;0,015433382;999;0;Flag;9,553428608;1;Pass;999;-1;0;Flag;77,99529782;999;1
S51-A07;ADNc-400;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;19,33827952;1;Pass;0,015433382;999;0;Flag;9,096198109;1;Pass;999;-1;0;Flag;86,29675355;999;1
S45-A07;ADNc-369;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;17,47530777;1;Pass;0,015433382;999;0;Flag;12,08360739;0,875718733;Pass;999;-1;0;Flag;86,23968819;999;1
S50-A07;ADNc-392;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;13,21122082;1;Pass;0,015433382;999;0;Flag;5,897216482;1;Pass;999;-1;0;Flag;86,56820053;999;1
S44-A07;ADNc-357;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;11,89842785;1;Pass;0,015433382;999;0;Flag;8,080464777;0,60175174;Flag;999;-1;0;Flag;86,43667935;999;1
S49-A07;ADNc-384;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;21,04016039;1;Pass;0,015433382;999;0;Flag;11,33858281;1;Pass;999;-1;0;Flag;86,42778211;999;1
S43-A07;ADNc-349;Unknown;1;;CD25;Test;ACTB,GAPDH,PPIA;16,8777011;1;Pass;0,015433382;999;0;Flag;9,601517087;1;Pass;999;-1;0;Flag;86,60488314;999;1
S96-A82;ADNc-ANSES-18;Unknown;1;ADNc-ANSES-3;CD36;Test;ACTB,GAPDH,PPIA;11,40484907;0,947509459;Pass;0,015433382;0,609727152;1;Pass;5,750703555;0,92858295;Pass;0,623716555;0,648996879;0,855191018;Pass;80,97214951;999;1
S06-A82;ADNc-338;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;6,206738199;1;Pass;0,015433382;999;0;Flag;-0,990895828;1;Pass;999;-1;0;Flag;80,96483153;999;1
S95-A82;ADNc-ANSES-10;Unknown;1;ADNc-ANSES-1;CD36;Test;ACTB,GAPDH,PPIA;11,17814139;0,473986889;Pass;0,015433382;-0,562365815;1;Pass;5,329349399;0,776069412;Pass;-0,152474998;1,111474615;0,776069412;Pass;80,82133492;999;1
S05-A82;ADNc-412;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;9,745358802;1;Pass;0,015433382;999;0;Flag;0,144717905;1;Pass;999;-1;0;Flag;80,7616779;999;1
S94-A82;ADNc-ANSES-2;Reference;1;;CD36;Test;ACTB,GAPDH,PPIA;10,08754844;0,674521438;Pass;0,015433382;0;1;Pass;4,467512064;0,900271744;Pass;0;1;0,900271744;Pass;80,76334618;999;1
S04-A82;ADNc-404;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,523933478;1;Pass;0,015433382;999;0;Flag;-0,767968757;1;Pass;999;-1;0;Flag;80,69647878;999;1
S93-A82;ADNc-314;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;7,507518656;1;Pass;0,015433382;999;0;Flag;-0,638217643;1;Pass;999;-1;0;Flag;80,7067553;999;1
S03-A82;ADNc-396;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,16530676;1;Pass;0,015433382;999;0;Flag;0,065139441;1;Pass;999;-1;0;Flag;80,63873802;999;1
S92-A82;ADNc-365;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;10,8951692;1;Pass;0,015433382;999;0;Flag;0,959165544;1;Pass;999;-1;0;Flag;80,60168932;999;1
S02-A82;ADNc-388;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;7,926234002;1;Pass;0,015433382;999;0;Flag;-0,656803912;1;Pass;999;-1;0;Flag;80,69501398;999;1
S91-A82;ADNc-353;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;4,339427147;0,779809049;Pass;0,015433382;999;0;Flag;-0,524228248;0,779809049;Pass;999;-1;0;Flag;80,66395105;999;1
S01-A82;ADNc-380;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,735591534;1;Pass;0,015433382;999;0;Flag;-0,487127907;1;Pass;999;-1;0;Flag;80,47359404;999;1
S90-A82;ADNc-345;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;4,580085942;0,860028647;Pass;0,015433382;999;0;Flag;-0,185271772;0,84645651;Pass;999;-1;0;Flag;80,65105394;999;1
S12-A82;ADNc-ANSES-11;Unknown;1;ADNc-ANSES-1;CD36;Test;ACTB,GAPDH,PPIA;11,55004229;0,538370723;Pass;0,015433382;-0,190464922;1;Pass;5,172902273;0,875902858;Pass;-0,308922124;1,238781827;0,875902858;Pass;80,57827934;999;1
S89-A82;ADNc-419;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;9,889503499;1;Pass;0,015433382;999;0;Flag;-0,086769016;1;Pass;999;-1;0;Flag;80,57991272;999;1
S11-A82;ADNc-ANSES-3;Reference;1;;CD36;Test;ACTB,GAPDH,PPIA;10,79512192;0,847425754;Pass;0,015433382;0;1;Pass;5,126987001;0,855191018;Pass;0;1;0,855191018;Pass;80,41867997;999;1
S88-A82;ADNc-411;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;11,39507602;1;Pass;0,015433382;999;0;Flag;0,53675416;1;Pass;999;-1;0;Flag;80,59620352;999;1
S10-A82;ADNc-315;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,384545781;1;Pass;0,015433382;999;0;Flag;-1,009368759;1;Pass;999;-1;0;Flag;80,47290579;999;1
S87-A82;ADNc-403;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,297085407;1;Pass;0,015433382;999;0;Flag;-0,539877005;1;Pass;999;-1;0;Flag;80,58673311;999;1
S09-A82;ADNc-366;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;4,238752151;0,746250717;Pass;0,015433382;999;0;Flag;-0,238949982;0,746250717;Pass;999;-1;0;Flag;80,61338292;999;1
S86-A82;ADNc-395;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,494815927;1;Pass;0,015433382;999;0;Flag;-0,208388032;1;Pass;999;-1;0;Flag;80,66442356;999;1
S08-A82;ADNc-354;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;7,114360593;1;Pass;0,015433382;999;0;Flag;-0,64120617;1;Pass;999;-1;0;Flag;80,5763842;999;1
S85-A82;ADNc-387;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,948510861;1;Pass;0,015433382;999;0;Flag;-0,547755724;1;Pass;999;-1;0;Flag;80,47457579;999;1
S07-A82;ADNc-346;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;4,248582549;0,749527516;Pass;0,015433382;999;0;Flag;-0,903843506;0,749527516;Pass;999;-1;0;Flag;80,62228039;999;1
S84-A82;ADNc-ANSES-17;Unknown;1;ADNc-ANSES-3;CD36;Test;ACTB,GAPDH,PPIA;12,02960381;0,755883938;Pass;0,015433382;1,234481891;1;Pass;6,172007833;0,919512481;Pass;1,045020833;0,48463791;0,855191018;Pass;80,45982929;999;1
S18-A82;ADNc-339;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;6,569792552;1;Pass;0,015433382;999;0;Flag;-0,982497011;1;Pass;999;-1;0;Flag;80,66959553;999;1
S83-A82;ADNc-ANSES-9;Unknown;1;ADNc-ANSES-2;CD36;Test;ACTB,GAPDH,PPIA;10,9259815;0,444435857;Pass;0,015433382;0,83843306;1;Pass;4,425239993;0,863909981;Pass;-0,042272072;1,029734258;0,863909981;Pass;80,60296794;999;1
S17-A82;ADNc-413;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;7,087225387;1;Pass;0,015433382;999;0;Flag;-0,321590973;1;Pass;999;-1;0;Flag;80,65649617;999;1
S82-A82;ADNc-ANSES-1;Reference;1;;CD36;Test;ACTB,GAPDH,PPIA;11,74050721;1;Pass;0,015433382;0;1;Pass;5,481824397;1;Pass;0;1;1;Pass;80,48194861;999;1
S16-A82;ADNc-405;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;10,06842348;1;Pass;0,015433382;999;0;Flag;-0,813357455;1;Pass;999;-1;0;Flag;80,60527319;999;1
S81-A82;ADNc-309;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;10,79143932;1;Pass;0,015433382;999;0;Flag;-1,284730802;1;Pass;999;-1;0;Flag;80,60463186;999;1
S15-A82;ADNc-397;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;7,855633828;1;Pass;0,015433382;999;0;Flag;-0,157842541;1;Pass;999;-1;0;Flag;80,66406413;999;1
S80-A82;ADNc-364;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;9,871853511;1;Pass;0,015433382;999;0;Flag;2,121598892;1;Pass;999;-1;0;Flag;80,60313912;999;1
S14-A82;ADNc-389;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;10,10747395;1;Pass;0,015433382;999;0;Flag;-1,067477329;1;Pass;999;-1;0;Flag;80,70139067;999;1
S79-A82;ADNc-352;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;3,463014659;0,487671553;Flag;0,015433382;999;0;Flag;-0,150734928;0,487671553;Flag;999;-1;0;Flag;80,71429425;999;1
S13-A82;ADNc-381;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,8762063;1;Pass;0,015433382;999;0;Flag;-0,724949653;1;Pass;999;-1;0;Flag;80,6301145;999;1
S78-A82;ADNc-344;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;4,251391735;0,750463912;Pass;0,015433382;999;0;Flag;-0,623286559;0,750463912;Pass;999;-1;0;Flag;80,70131536;999;1
S24-A82;ADNc-ANSES-12;Unknown;1;ADNc-ANSES-1;CD36;Test;ACTB,GAPDH,PPIA;10,7304464;0,826367291;Pass;0,015433382;-1,010060804;1;Pass;5,24940528;0,862559147;Pass;-0,232419117;1,174803214;0,862559147;Pass;80,67782546;999;1
S77-A82;ADNc-418;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;5,919637393;1;Pass;0,015433382;999;0;Flag;-0,512355941;0,969165982;Pass;999;-1;0;Flag;80,69646978;999;1
S23-A82;ADNc-ANSES-4;Unknown;1;ADNc-ANSES-1;CD36;Test;ACTB,GAPDH,PPIA;11,67371761;0,850001172;Pass;0,015433382;-0,0667896;1;Pass;5,4431305;0,911977672;Pass;-0,038693897;1,027183475;0,911977672;Pass;80,64176102;999;1
S76-A82;ADNc-410;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;9,450670781;1;Pass;0,015433382;999;0;Flag;0,148966382;1;Pass;999;-1;0;Flag;80,69160068;999;1
S22-A82;ADNc-321;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;9,411814162;1;Pass;0,015433382;999;0;Flag;-0,832664989;1;Pass;999;-1;0;Flag;80,67964939;999;1
S75-A82;ADNc-402;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,89616664;1;Pass;0,015433382;999;0;Flag;-0,984045809;1;Pass;999;-1;0;Flag;80,69129821;999;1
S21-A82;ADNc-367;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,864853656;1;Pass;0,015433382;999;0;Flag;0,685516167;1;Pass;999;-1;0;Flag;80,68748567;999;1
S74-A82;ADNc-394;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;12,09338516;1;Pass;0,015433382;999;0;Flag;0,856786666;1;Pass;999;-1;0;Flag;80,73577439;999;1
S20-A82;ADNc-355;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;4,493237528;0,831079176;Pass;0,015433382;999;0;Flag;-0,459428016;0,831079176;Pass;999;-1;0;Flag;80,72211641;999;1
S73-A82;ADNc-386;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,437804235;1;Pass;0,015433382;999;0;Flag;-0,218224484;1;Pass;999;-1;0;Flag;80,67536622;999;1
S19-A82;ADNc-347;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;4,748596294;0,916198765;Pass;0,015433382;999;0;Flag;-1,10375819;0,916198765;Pass;999;-1;0;Flag;80,73698075;999;1
S72-A82;ADNc-ANSES-16;Unknown;1;ADNc-ANSES-3;CD36;Test;ACTB,GAPDH,PPIA;11,78048741;0,82347525;Pass;0,015433382;0,985365485;1;Pass;6,19223721;0,867540771;Pass;1,06525021;0,47788977;0,855191018;Pass;80,68892827;999;1
S30-A82;ADNc-340;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;6,923975292;1;Pass;0,015433382;999;0;Flag;-1,182237372;1;Pass;999;-1;0;Flag;80,73853482;999;1
S71-A82;ADNc-ANSES-8;Unknown;1;ADNc-ANSES-2;CD36;Test;ACTB,GAPDH,PPIA;11,53372834;0,786221161;Pass;0,015433382;1,446179905;1;Pass;5,654132283;0,878641357;Pass;1,186620219;0,43933087;0,878641357;Pass;80,64197192;999;1
S29-A82;ADNc-414;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,092766018;1;Pass;0,015433382;999;0;Flag;-0,497523732;1;Pass;999;-1;0;Flag;80,72743294;999;1
S70-A82;ADNc-333;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;10,47869686;1;Pass;0,015433382;999;0;Flag;-1,36560313;1;Pass;999;-1;0;Flag;80,71514213;999;1
S28-A82;ADNc-406;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;8,381916277;1;Pass;0,015433382;999;0;Flag;-1,045093259;1;Pass;999;-1;0;Flag;80,71933038;999;1
S69-A82;ADNc-308;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;10,57286644;1;Pass;0,015433382;999;0;Flag;-0,905495782;1;Pass;999;-1;0;Flag;80,71020229;999;1
S27-A82;ADNc-398;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;7,083222321;1;Pass;0,015433382;999;0;Flag;-0,596471022;1;Pass;999;-1;0;Flag;80,70734693;999;1
S68-A82;ADNc-363;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;5,317118602;1;Pass;0,015433382;999;0;Flag;0,15808601;0,819856806;Pass;999;-1;0;Flag;80,7329374;999;1
S26-A82;ADNc-390;Unknown;1;;CD36;Test;ACTB,GAPDH,PPIA;9,434738722;1;Pass;0,015433382;999;0;Flag;-0,512044488;1;Pass;999;-1;0;Flag;80,75996885;999;1
